"yr" "Mes" "Fecha" "Ciudad" "Temperatura"
1960 "junio" "1960-06-01" "Bucaramanga" NA
1960 "julio" "1960-07-01" "Bucaramanga" NA
1960 "agosto" "1960-08-01" "Bucaramanga" NA
1960 "septiembre" "1960-09-01" "Bucaramanga" NA
1960 "octubre" "1960-10-01" "Bucaramanga" NA
1960 "noviembre" "1960-11-01" "Bucaramanga" NA
1960 "diciembre" "1960-12-01" "Bucaramanga" NA
1961 "enero" "1961-01-01" "Bucaramanga" NA
1961 "febrero" "1961-02-01" "Bucaramanga" NA
1961 "marzo" "1961-03-01" "Bucaramanga" NA
1961 "abril" "1961-04-01" "Bucaramanga" NA
1961 "mayo" "1961-05-01" "Bucaramanga" NA
1961 "junio" "1961-06-01" "Bucaramanga" NA
1961 "julio" "1961-07-01" "Bucaramanga" NA
1961 "agosto" "1961-08-01" "Bucaramanga" NA
1961 "septiembre" "1961-09-01" "Bucaramanga" NA
1961 "octubre" "1961-10-01" "Bucaramanga" NA
1961 "noviembre" "1961-11-01" "Bucaramanga" NA
1961 "diciembre" "1961-12-01" "Bucaramanga" NA
1962 "enero" "1962-01-01" "Bucaramanga" NA
1962 "febrero" "1962-02-01" "Bucaramanga" NA
1962 "marzo" "1962-03-01" "Bucaramanga" NA
1962 "abril" "1962-04-01" "Bucaramanga" NA
1962 "mayo" "1962-05-01" "Bucaramanga" NA
1962 "junio" "1962-06-01" "Bucaramanga" NA
1962 "julio" "1962-07-01" "Bucaramanga" NA
1962 "agosto" "1962-08-01" "Bucaramanga" NA
1962 "septiembre" "1962-09-01" "Bucaramanga" NA
1962 "octubre" "1962-10-01" "Bucaramanga" NA
1962 "noviembre" "1962-11-01" "Bucaramanga" NA
1962 "diciembre" "1962-12-01" "Bucaramanga" NA
1963 "enero" "1963-01-01" "Bucaramanga" NA
1963 "febrero" "1963-02-01" "Bucaramanga" NA
1963 "marzo" "1963-03-01" "Bucaramanga" NA
1963 "abril" "1963-04-01" "Bucaramanga" NA
1963 "mayo" "1963-05-01" "Bucaramanga" NA
1963 "junio" "1963-06-01" "Bucaramanga" NA
1963 "julio" "1963-07-01" "Bucaramanga" NA
1963 "agosto" "1963-08-01" "Bucaramanga" NA
1963 "septiembre" "1963-09-01" "Bucaramanga" NA
1963 "octubre" "1963-10-01" "Bucaramanga" NA
1963 "noviembre" "1963-11-01" "Bucaramanga" NA
1963 "diciembre" "1963-12-01" "Bucaramanga" NA
1964 "enero" "1964-01-01" "Bucaramanga" NA
1964 "febrero" "1964-02-01" "Bucaramanga" NA
1964 "marzo" "1964-03-01" "Bucaramanga" NA
1964 "abril" "1964-04-01" "Bucaramanga" NA
1964 "mayo" "1964-05-01" "Bucaramanga" NA
1964 "junio" "1964-06-01" "Bucaramanga" NA
1964 "julio" "1964-07-01" "Bucaramanga" NA
1964 "agosto" "1964-08-01" "Bucaramanga" NA
1964 "septiembre" "1964-09-01" "Bucaramanga" NA
1964 "octubre" "1964-10-01" "Bucaramanga" NA
1964 "noviembre" "1964-11-01" "Bucaramanga" NA
1964 "diciembre" "1964-12-01" "Bucaramanga" NA
1965 "enero" "1965-01-01" "Bucaramanga" NA
1965 "febrero" "1965-02-01" "Bucaramanga" NA
1965 "marzo" "1965-03-01" "Bucaramanga" NA
1965 "abril" "1965-04-01" "Bucaramanga" NA
1965 "mayo" "1965-05-01" "Bucaramanga" NA
1965 "junio" "1965-06-01" "Bucaramanga" NA
1965 "julio" "1965-07-01" "Bucaramanga" NA
1965 "agosto" "1965-08-01" "Bucaramanga" NA
1965 "septiembre" "1965-09-01" "Bucaramanga" NA
1965 "octubre" "1965-10-01" "Bucaramanga" NA
1965 "noviembre" "1965-11-01" "Bucaramanga" NA
1965 "diciembre" "1965-12-01" "Bucaramanga" NA
1966 "enero" "1966-01-01" "Bucaramanga" NA
1966 "febrero" "1966-02-01" "Bucaramanga" NA
1966 "marzo" "1966-03-01" "Bucaramanga" NA
1966 "abril" "1966-04-01" "Bucaramanga" NA
1966 "mayo" "1966-05-01" "Bucaramanga" NA
1966 "junio" "1966-06-01" "Bucaramanga" NA
1966 "julio" "1966-07-01" "Bucaramanga" NA
1966 "agosto" "1966-08-01" "Bucaramanga" NA
1966 "septiembre" "1966-09-01" "Bucaramanga" NA
1966 "octubre" "1966-10-01" "Bucaramanga" NA
1966 "noviembre" "1966-11-01" "Bucaramanga" NA
1966 "diciembre" "1966-12-01" "Bucaramanga" NA
1967 "enero" "1967-01-01" "Bucaramanga" NA
1967 "febrero" "1967-02-01" "Bucaramanga" NA
1967 "marzo" "1967-03-01" "Bucaramanga" NA
1967 "abril" "1967-04-01" "Bucaramanga" NA
1967 "mayo" "1967-05-01" "Bucaramanga" NA
1967 "junio" "1967-06-01" "Bucaramanga" NA
1967 "julio" "1967-07-01" "Bucaramanga" NA
1967 "agosto" "1967-08-01" "Bucaramanga" NA
1967 "septiembre" "1967-09-01" "Bucaramanga" NA
1967 "octubre" "1967-10-01" "Bucaramanga" NA
1967 "noviembre" "1967-11-01" "Bucaramanga" NA
1967 "diciembre" "1967-12-01" "Bucaramanga" NA
